{'__module__': '__main__', '__dict__': <attribute '__dict__' of 'Flag' objects>, '__weakref__': <attribute '__weakref__' of 'Flag' objects>, '__doc__': None, 'diff_path': '/mnt/nas5/joonsung/SD_finetuned/sd-COCO-checkpoint-3', 'anchor': 0, 'dataset_train_name': 'members', 'dataset_test_name': 'nonmembers', 'attack': 'MoFit', 'T': 1000, 'even_num': 10, 'max_n_samples': 1, 'max_clid_samples': 1, 'trials_eacht': 1, 'train_batch_size': 8, 'dataloader_num_workers': 0, 'resolution': 512, 'image_column': 'image', 'caption_column': 'text', 't_sec': 100, 'timestep': 10, 'stpsnumi': 1, 'outdir': 'path/to/../MoFit/Results/COCO', 'dataset_config_name': None, 'cache_dir': None, 'train_data_dir': None}	/mnt/nas5/joonsung/SD_finetuned/sd-COCO-checkpoint-3	
0.42326	-0.0015799	0.012247	0.0066329	0.010353	0.43361
0.37529	0.0018077	0.0073195	0.011919	0.0027355	0.37803
0.47791	-0.0077871	0.0054759	0.0024609	-0.0015568	0.47635
0.35922	-0.004366	-0.0063745	-0.0068503	-0.0098586	0.34936
0.42747	0.01797	0.0046198	0.015223	0.0061176	0.43358
0.36479	-0.0015628	-0.0060275	-0.0092544	-0.0056877	0.3591
0.44289	-0.0097999	-0.013545	0.0016484	-0.012029	0.43086
0.39184	-0.001854	-0.0018794	0.0032529	0.001088	0.39292
0.3721	0.00014561	-0.0082282	-0.0076976	-0.0071735	0.36493
0.35447	-0.015878	-0.011816	0.0075399	-0.00955	0.34492
0.35157	-0.0026855	0.0020691	-0.0078025	-0.0012459	0.35032
0.29199	-0.00063843	0.0013701	0.0087472	0.0089353	0.30092
0.38191	-0.0019659	-0.0013696	-0.0027322	0.0020986	0.38401
0.51258	0.0094343	0.0070666	-0.0057135	-0.0030726	0.5095
0.51321	-0.011147	-0.013475	-0.012834	-0.012751	0.50046
0.35007	0.010032	0.009673	0.0094753	0.011167	0.36124
0.47661	-0.0071205	-0.0047201	0.00069189	-0.0040349	0.47258
0.23973	-0.0032884	0.0085357	-0.00041835	0.0034087	0.24314
0.35569	-0.0033089	0.0062965	0.00047213	-0.0007782	0.35491
0.33928	0.00082457	-0.008091	-0.011712	-0.0082359	0.33105
0.41555	-0.0031796	0.0013802	0.0017544	-0.00095373	0.4146
0.32267	0.024878	0.059591	0.070543	0.076913	0.39958
0.50816	0.0062669	0.0039546	0.007656	0.0069642	0.51512
0.48725	-0.0065136	-0.0010758	-0.0021797	-0.0088089	0.47844
0.40831	-0.0054724	-0.0024172	-0.0052217	-0.0053012	0.40301
0.3335	0.018701	-0.0050309	0.036018	0.018129	0.35163
0.44369	-0.0052951	-0.007516	-0.0026268	-0.0097252	0.43397
0.39597	0.052607	0.028931	-0.0024804	0.041163	0.43713
0.34886	-0.0095839	-0.0078324	-0.0049115	-0.0095988	0.33926
0.41692	-0.0019896	-0.0015357	0.0045074	0.0014384	0.41836
0.43083	-0.0039395	-0.0029182	-0.0031916	-0.0038207	0.42701
0.27975	0.0018125	-0.00025058	-0.0013895	0.0025577	0.28231
0.40368	-0.010784	-0.006084	-0.0024039	-0.0057247	0.39796
0.34977	-0.0041152	-0.0089341	-0.0067613	-0.0067852	0.34298
0.38776	0.0022983	0.00084892	0.0023726	0.00030378	0.38807
0.18289	-0.0057915	0.073779	0.059572	0.060496	0.24338
0.32486	-0.011921	-0.019249	-0.020435	-0.015636	0.30922
0.38749	0.0085733	0.014185	0.015243	0.013989	0.40148
0.43936	-0.00076169	0.0038379	0.0056833	0.0058314	0.44519
0.40723	0.002883	0.0042181	0.0018627	0.0036962	0.41093
0.51709	0.017292	0.017901	0.022157	0.014203	0.53129
0.48724	0.0024037	0.0073841	-0.0039594	-0.002531	0.4847
0.38859	0.009916	0.00042555	0.0076898	0.010114	0.39871
0.36759	-0.0093828	-0.0015984	-0.0016852	-0.0064857	0.3611
0.35687	0.0068211	0.012309	0.0054274	0.012064	0.36893
0.34776	-0.00053599	-0.0011325	-0.0093417	-0.004113	0.34364
0.40604	-0.0051138	0.0065087	0.020033	0.0082927	0.41434
0.37507	-0.0083345	-0.0033815	-0.0058226	-0.0053889	0.36968
0.43146	0.011119	0.014403	0.022834	0.011276	0.44274
0.4802	-0.0044035	0.015416	0.031694	0.010123	0.49032
0.32362	0.0061546	0.0058319	0.0023936	0.0080803	0.3317
0.39996	0.0076964	0.015451	0.015117	0.021426	0.42138
0.42152	-0.0045679	0.01882	0.0078564	0.010693	0.43221
0.38396	0.0071658	0.0028424	-0.0088174	-0.0013756	0.38258
0.37226	0.0012966	-0.009342	-0.00035933	-0.0022839	0.36998
0.26765	0.0056952	0.00041929	0.0070468	0.004769	0.27242
0.35337	0.020763	0.01023	-0.0026639	0.0098519	0.36322
0.39403	-0.0040726	-0.010378	-0.0011282	-0.0045584	0.38947
0.19775	0.034773	0.068407	0.0092291	0.065754	0.26351
0.35161	0.0044192	-0.0016445	0.0045514	0.0020179	0.35363
0.5311	0.0015731	-0.013506	-0.0014642	-0.0062193	0.52488
0.52407	-0.0026918	-0.0011948	0.002723	0.0022699	0.52634
0.33097	-0.0061293	0.00092626	0.0022011	-0.0026629	0.32831
0.40489	0.0019525	-0.00178	0.0030412	-6.2346e-05	0.40483
0.3763	-0.01666	-0.0070125	-0.013789	-0.018375	0.35793
0.26126	-0.0028797	0.017779	0.0070896	0.0041276	0.26539
0.39862	-0.0019911	-0.0019092	0.0018841	0.00024018	0.39886
0.41966	-0.0016778	0.010944	0.001571	0.0016155	0.42127
0.42348	-0.0020809	-0.0073051	-0.0026786	-0.0099326	0.41355
0.40279	0.0098562	0.021707	0.017663	0.013202	0.41599
0.34024	6.64e-05	-0.0011728	-0.0048536	-0.0028385	0.3374
0.30446	0.0032544	0.027685	0.025748	0.023281	0.32774
0.40203	-0.00077736	0.0050738	0.0019312	0.001842	0.40388
0.34885	0.0038255	0.0035961	0.00034377	-0.0038981	0.34495
0.45342	-0.0034624	-0.0073975	-0.0075747	-0.0010937	0.45233
0.41753	-0.0095553	0.00039971	-0.0038014	-0.013185	0.40434
0.53261	0.00076342	-0.012031	-0.0043951	-0.008989	0.52363
0.28669	-0.0033459	-0.0019716	-0.0020809	0.00028262	0.28698
0.5242	0.0026397	0.0011169	-0.0020738	-0.0049032	0.5193
0.37475	0.00026858	0.026122	-0.0007652	0.019117	0.39387
0.46098	-0.00081426	0.0098968	0.0084598	0.0019211	0.4629
0.35065	0.0078261	-8.0496e-05	-0.0023606	0.00083801	0.35149
0.39563	0.008065	0.012245	0.00084522	0.005306	0.40093
0.41305	-0.0038547	-0.0082557	-0.0015959	-0.0023925	0.41065
0.31343	0.013525	0.010524	0.003705	0.011944	0.32538
0.4344	0.022184	0.025941	0.0014244	0.021504	0.4559
0.22897	0.0043898	0.00078177	0.021435	0.016366	0.24534
0.47913	0.0039732	-0.0012791	0.0076119	0.00056317	0.47969
0.486	0.00066787	-0.0042223	-0.010983	-0.00621	0.47979
0.50861	0.012542	0.016621	0.0064018	0.0031128	0.51172
0.24038	-0.0002802	0.0046919	0.0024201	0.0099938	0.25038
0.38606	-0.00079498	-0.00097594	0.0035023	-0.00069243	0.38536
